,precision,recall,f1-score,support
0,0.9888551165146909,0.9959183673469387,0.9923741738688358,980.0
1,0.9929577464788732,0.9938325991189427,0.9933949801849405,1135.0
2,0.9774509803921568,0.9660852713178295,0.9717348927875243,1032.0
3,0.9775739041794088,0.9495049504950495,0.9633350075339027,1010.0
4,0.9807497467071935,0.9857433808553971,0.9832402234636872,982.0
5,0.940347071583514,0.9719730941704036,0.9558985667034178,892.0
6,0.9873150105708245,0.9749478079331941,0.9810924369747899,958.0
7,0.9835271317829457,0.9873540856031129,0.9854368932038835,1028.0
8,0.9641076769690927,0.9928131416837782,0.9782498735457764,974.0
9,0.9939148073022313,0.9712586719524281,0.9824561403508771,1009.0
accuracy,0.9791,0.9791,0.9791,0.9791
macro avg,0.978679919248093,0.9789431370477075,0.9787213188617635,10000.0
weighted avg,0.9792864540078352,0.9791,0.9791061484091186,10000.0
