,precision,recall,f1-score,support
0,0.9828629032258065,0.9948979591836735,0.988843813387424,980.0
1,0.9894736842105263,0.9938325991189427,0.9916483516483516,1135.0
2,0.9874081846799581,0.9118217054263565,0.948110831234257,1032.0
3,0.9773895169578622,0.9415841584158415,0.9591527987897124,1010.0
4,0.971830985915493,0.9837067209775967,0.9777327935222673,982.0
5,0.9323144104803494,0.9573991031390134,0.9446902654867256,892.0
6,0.9787685774946921,0.9624217118997912,0.9705263157894738,958.0
7,0.9593572778827977,0.9873540856031129,0.9731543624161073,1028.0
8,0.9247619047619048,0.9969199178644764,0.9594861660079052,974.0
9,0.9898167006109979,0.9633300297324083,0.9763937719738826,1009.0
accuracy,0.9695,0.9695,0.9695,0.9695
macro avg,0.9693984146220387,0.9693267991361212,0.9689739470256106,10000.0
weighted avg,0.9701712142832905,0.9695,0.9694467577608364,10000.0
