,precision,recall,f1-score,support
0,0.9878542510121457,0.9959183673469387,0.991869918699187,980.0
1,0.9938325991189427,0.9938325991189427,0.9938325991189427,1135.0
2,0.9737354085603113,0.9699612403100775,0.9718446601941747,1032.0
3,0.9786150712830958,0.9514851485148514,0.964859437751004,1010.0
4,0.9817444219066938,0.9857433808553971,0.983739837398374,982.0
5,0.9431693989071038,0.9674887892376681,0.9551743220807969,892.0
6,0.9873284054910243,0.975991649269311,0.9816272965879265,958.0
7,0.9844961240310077,0.9883268482490273,0.9864077669902912,1028.0
8,0.9641076769690927,0.9928131416837782,0.9782498735457764,974.0
9,0.9939024390243902,0.9692765113974232,0.9814350225790266,1009.0
accuracy,0.9793,0.9793,0.9793,0.9793
macro avg,0.9788785796303809,0.9790837675983415,0.97890407349455,10000.0
weighted avg,0.9794584522067363,0.9793,0.9793041706608455,10000.0
