,precision,recall,f1-score,support
0,0.9111318989710009,0.9938775510204082,0.95070766227428,980.0
1,0.9732065687121867,0.9920704845814978,0.9825479930191973,1135.0
2,0.9811320754716981,0.7054263565891473,0.8207440811724915,1032.0
3,0.9741480611045829,0.8207920792079207,0.890918860827512,1010.0
4,0.9582909460834181,0.9592668024439919,0.9587786259541985,982.0
5,0.7807585568917669,0.9461883408071748,0.8555499239736442,892.0
6,0.9861271676300578,0.8903966597077244,0.9358200767964893,958.0
7,0.783179012345679,0.9873540856031129,0.8734939759036144,1028.0
8,0.9556701030927836,0.9517453798767967,0.9537037037037038,974.0
9,0.9705882352941176,0.9484638255698712,0.9593984962406016,1009.0
accuracy,0.9195,0.9195,0.9195,0.9195
macro avg,0.9274232625597293,0.9195581565407644,0.9181663399865732,10000.0
weighted avg,0.9291358962988794,0.9195,0.9189800496097021,10000.0
